OLD_TICKER,NEW_TICKER,CHANGE_DATE
MAFSETF,BFSI,01-Sep-23
MAMFGETF,MAKEINDIA,01-Sep-23
MAM150ETF,MIDCAPETF,01-Sep-23
MASILVER,SILVRETF,01-Sep-23
MIRZATAN,MIRZAINT,05-Jul-06
MOHOTAMILL,MOHOTAIND,26-Dec-17
RAIREKMOH,MOHOTAMILL,01-Aug-17
G5,MOGSEC,16-Jun-21
M100,MOM100,16-Jun-21
M50,MOM50,16-Jun-21
N100,MON100,16-Jun-21
MPHASISBFL,MPHASIS,26-Dec-06
BFLSOFTWAR,MPHASISBFL,15-Jun-04
NAGAAGRI,NACLIND,29-Sep-17
NAVBARFERO,NBVENTURES,31-Jul-06
NBVENTURES,NAVA,29-Jul-22
NAGARCONST,NCC,15-Mar-11
NXTDIGITAL,NDLVENTURE,09-May-23
RELCONS,NETFCONSUM,30-Oct-19
NETFCONSUM,CONSUMBEES,10-May-22
RRSLGETF,NETFLTGILT,08-Jul-16
RELCNX100,NETFNIF100,30-Oct-19
NETFNIF100,NIF100BEES,10-May-22
RETFMID150,NETFMID150,30-Oct-19
NETFMID150,MID150BEES,10-May-22
RELNV20,NETFNV20,22-Jun-15
NETFNV20,NV20BEES,10-May-22
RDAIIIADG,NDAIIIADG,30-Oct-19
RDAIIIARD,NDAIIIARD,30-Oct-19
RDAIIIARG,NDAIIIARG,30-Oct-19
RDAIXDDD,NDAIXDDD,30-Oct-19
RDAIXDDG,NDAIXDDG,30-Oct-19
RDAIXDD,NDAIXDD,30-Oct-19
RDAIXDG,NDAIXDG,30-Oct-19
RDAIXEDDD,NDAIXEDDD,30-Oct-19
RDAIXEDDG,NDAIXEDDG,30-Oct-19
RDAIXEDD,NDAIXEDD,30-Oct-19
RDAIXEDG,NDAIXEDG,30-Oct-19
RDAIXFDDD,NDAIXFDDD,30-Oct-19
RDAIXFDDG,NDAIXFDDG,30-Oct-19
RDAIXFDD,NDAIXFDD,30-Oct-19
RDAIXFDG,NDAIXFDG,30-Oct-19
RDAVIIPCDG,NDAVIIPCDG,30-Oct-19
RDAVIIPDDD,NDAVIIPDDD,30-Oct-19
RDAVIIPDDG,NDAVIIPDDG,30-Oct-19
RDAVIIPDD,NDAVIIPDD,30-Oct-19
RDAVIIPDG,NDAVIIPDG,30-Oct-19
RDAFVIIICX,NDAFVIIICX,30-Oct-19
RDAFVIIICD,NDAFVIIICD,30-Oct-19
RDAXADDD,NDAXADDD,30-Oct-19
RDAXADDG,NDAXADDG,30-Oct-19
RDAXADD,NDAXADD,30-Oct-19
RDAXADG,NDAXADG,30-Oct-19
RDAXDDDD,NDAXDDDD,30-Oct-19
RDAXDDDG,NDAXDDDG,30-Oct-19
RDAXDDD,NDAXDDD,30-Oct-19
RDAXDDG,NDAXDDG,30-Oct-19
RDAFTVCDG,NDAFTVCDG,30-Oct-19
RDAFTFVCD,NDAFTFVCD,30-Oct-19
